STT	Test	Từ mới	Định nghĩa	Ví dụ 1	Ví dụ 2	Phiên âm	Ghi chú
24	List 2	explanatory	(adj) dùng để giải thích = intended to explain something	The form includes [explanatory] notes. (Dịch: Biểu mẫu có kèm các ghi chú giải thích.)	She gave an [explanatory] comment during the meeting. (Dịch: Cô ấy đưa ra lời giải thích trong cuộc họp.)	(adj) /ɪkˈsplænətɔːri/	Formal writing
25	List 2	garage	(n) ga-ra; chỗ để xe = a place where cars are kept	The car is parked in the [garage]. (Dịch: Chiếc xe được đỗ trong ga-ra.)	They turned the old [garage] into a workshop. (Dịch: Họ biến ga-ra cũ thành một xưởng nhỏ.)	(n) /ɡəˈrɑːʒ/	Building context
26	List 2	identification	(n) giấy tờ tùy thân; sự nhận dạng = proof of who someone is	Please show your [identification] at check-in. (Dịch: Vui lòng xuất trình giấy tờ tùy thân khi làm thủ tục.)	Proper [identification] is required to enter the building. (Dịch: Cần có giấy tờ nhận dạng phù hợp để vào tòa nhà.)	(n) /aɪˌdentɪfɪˈkeɪʃn/	Collocations: photo identification
27	List 2	inference	(n) sự suy luận = a conclusion based on evidence	From the chart, we can make a useful [inference]. (Dịch: Từ biểu đồ, chúng ta có thể rút ra một suy luận hữu ích.)	His answer required careful [inference]. (Dịch: Câu trả lời của anh ấy đòi hỏi sự suy luận cẩn thận.)	(n) /ˈɪnfərəns/	Reading skill word
28	List 2	instructor	(n) người hướng dẫn; giảng viên = someone who teaches a skill or subject	The yoga [instructor] explained each movement clearly. (Dịch: Huấn luyện viên yoga giải thích rõ từng động tác.)	Our driving [instructor] was very patient. (Dịch: Người hướng dẫn lái xe của chúng tôi rất kiên nhẫn.)	(n) /ɪnˈstrʌktər/	Collocations: course instructor
29	List 2	inventory	(n) hàng tồn kho; kiểm kê = goods in stock or a detailed list of them	The store updates its [inventory] weekly. (Dịch: Cửa hàng cập nhật hàng tồn kho hằng tuần.)	Low [inventory] may delay shipping. (Dịch: Hàng tồn kho thấp có thể làm chậm giao hàng.)	(n) /ˈɪnvəntɔːri/	Logistics context
30	List 2	keyboard	(n) bàn phím = the part of a computer you type on	The [keyboard] stopped working after lunch. (Dịch: Bàn phím ngừng hoạt động sau giờ ăn trưa.)	She bought a wireless [keyboard] for her laptop. (Dịch: Cô ấy mua một bàn phím không dây cho laptop.)	(n) /ˈkiːbɔːrd/	Tech context
31	List 2	laptop	(n) máy tính xách tay = a small portable computer	He brought his [laptop] to the meeting. (Dịch: Anh ấy mang laptop đến cuộc họp.)	My [laptop] battery lasts six hours. (Dịch: Pin laptop của tôi dùng được sáu giờ.)	(n) /ˈlæpˌtɑːp/	Tech context
32	List 2	mall	(n) trung tâm mua sắm = a large building with many shops	The new [mall] has over one hundred stores. (Dịch: Trung tâm mua sắm mới có hơn một trăm cửa hàng.)	We met at the food court in the [mall]. (Dịch: Chúng tôi gặp nhau ở khu ăn uống trong trung tâm mua sắm.)	(n) /mɔːl/	Shopping context
33	List 2	manual	(n) sách hướng dẫn = a book that explains how to do or use something	Please read the user [manual] before installation. (Dịch: Vui lòng đọc sách hướng dẫn trước khi lắp đặt.)	The [manual] explains how to operate the machine. (Dịch: Sách hướng dẫn giải thích cách vận hành máy.)	(n) /ˈmænjuəl/	Collocations: user manual
34	List 2	media	(n) truyền thông; phương tiện truyền thông = newspapers, TV, radio, and online news	The company received positive attention from the [media]. (Dịch: Công ty nhận được sự chú ý tích cực từ truyền thông.)	Social [media] is useful for promotion. (Dịch: Mạng xã hội hữu ích cho việc quảng bá.)	(n) /ˈmiːdiə/	Collocations: mass media, social media
35	List 2	medication	(n) thuốc = medicine used to treat illness	Take this [medication] after meals. (Dịch: Hãy uống thuốc này sau bữa ăn.)	The doctor changed my [medication] yesterday. (Dịch: Bác sĩ đã đổi thuốc cho tôi hôm qua.)	(n) /ˌmedɪˈkeɪʃn/	Medical context
36	List 2	merchandise	(n) hàng hóa = goods that are bought and sold	New [merchandise] arrived this morning. (Dịch: Hàng hóa mới đã đến sáng nay.)	The store sells imported [merchandise]. (Dịch: Cửa hàng bán hàng hóa nhập khẩu.)	(n) /ˈmɜːrtʃəndaɪs/	Retail context
37	List 2	obtain	(v) đạt được; lấy được = to get something	You must [obtain] approval before making changes. (Dịch: Bạn phải được phê duyệt trước khi thực hiện thay đổi.)	She [obtained] the necessary documents online. (Dịch: Cô ấy đã lấy được các giấy tờ cần thiết trực tuyến.)	(v) /əbˈteɪn/	Formal/business word
38	List 2	occupation	(n) nghề nghiệp = a job or profession	Please write your [occupation] on the form. (Dịch: Vui lòng ghi nghề nghiệp của bạn vào biểu mẫu.)	Teaching is a rewarding [occupation]. (Dịch: Dạy học là một nghề đáng giá.)	(n) /ˌɑːkjuˈpeɪʃn/	Form vocabulary
39	List 2	outdoor	(adj) ngoài trời = happening or existing outside	The hotel has an [outdoor] pool. (Dịch: Khách sạn có hồ bơi ngoài trời.)	We bought [outdoor] furniture for the patio. (Dịch: Chúng tôi mua đồ nội thất ngoài trời cho sân hiên.)	(adj) /ˈaʊtˌdɔːr/	Opposite: indoor
40	List 2	oval	(adj/n) hình bầu dục = shaped like an egg	The mirror has an [oval] shape. (Dịch: Chiếc gương có hình bầu dục.)	She drew an [oval] on the whiteboard. (Dịch: Cô ấy vẽ một hình bầu dục trên bảng trắng.)	(adj/n) /ˈoʊvəl/	Shape word
41	List 2	passport	(n) hộ chiếu = an official document used for international travel	Please keep your [passport] in a safe place. (Dịch: Vui lòng giữ hộ chiếu ở nơi an toàn.)	She showed her [passport] at immigration. (Dịch: Cô ấy xuất trình hộ chiếu tại quầy nhập cảnh.)	(n) /ˈpæspɔːrt/	Travel context
42	List 2	postpone	(v) hoãn lại = to delay until a later time	We had to [postpone] the meeting because of the storm. (Dịch: Chúng tôi phải hoãn cuộc họp vì cơn bão.)	The event was [postponed] until next week. (Dịch: Sự kiện đã được hoãn đến tuần sau.)	(v) /poʊsˈpoʊn/	Opposite: move up
43	List 2	precede	(v) xảy ra trước; đứng trước = to come before something else	A short introduction will [precede] the speech. (Dịch: Một phần giới thiệu ngắn sẽ diễn ra trước bài phát biểu.)	The dinner was [preceded] by a reception. (Dịch: Bữa tối được diễn ra sau một buổi tiếp đón trước đó.)	(v) /prɪˈsiːd/	Formal sequencing word
44	List 2	receptionist	(n) nhân viên lễ tân = a person who greets visitors and answers phones	The [receptionist] answered my call politely. (Dịch: Nhân viên lễ tân trả lời cuộc gọi của tôi một cách lịch sự.)	Please leave the documents with the [receptionist]. (Dịch: Vui lòng để tài liệu với nhân viên lễ tân.)	(n) /rɪˈsepʃənɪst/	Front-desk context
45	List 2	renovation	(n) sự cải tạo; sửa chữa = the process of improving a building	The office is closed for [renovation]. (Dịch: Văn phòng đóng cửa để cải tạo.)	Hotel [renovations] will continue through June. (Dịch: Việc cải tạo khách sạn sẽ tiếp tục đến tháng Sáu.)	(n) /ˌrenəˈveɪʃn/	Word family: renovate
46	List 2	replacement	(n) sự thay thế; đồ thay thế = the act of putting something new in place of something old	We ordered a [replacement] for the broken part. (Dịch: Chúng tôi đã đặt một bộ phận thay thế cho món bị hỏng.)	The company offered a free [replacement] item. (Dịch: Công ty đã cung cấp món hàng thay thế miễn phí.)	(n) /rɪˈpleɪsmənt/	Collocations: replacement part
47	List 2	reschedule	(v) dời lịch; sắp xếp lại thời gian = to change the time of something	We need to [reschedule] the appointment. (Dịch: Chúng ta cần dời lịch cuộc hẹn.)	The meeting was [rescheduled] for Thursday. (Dịch: Cuộc họp đã được dời sang thứ Năm.)	(v) /riːˈskedʒuːl/	Office/calendar word
48	List 2	suitcase	(n) vali = a large bag used when traveling	She packed her clothes in a [suitcase]. (Dịch: Cô ấy xếp quần áo vào vali.)	This [suitcase] is too heavy to carry. (Dịch: Chiếc vali này quá nặng để mang.)	(n) /ˈsuːtkeɪs/	Travel context
49	List 2	supermarket	(n) siêu thị = a large self-service food store	I bought fruit at the [supermarket]. (Dịch: Tôi mua trái cây ở siêu thị.)	The new [supermarket] opens next month. (Dịch: Siêu thị mới sẽ mở cửa vào tháng tới.)	(n) /ˈsuːpərˌmɑːrkɪt/	Shopping context
50	List 2	tactic	(n) chiến thuật; biện pháp = a planned way of achieving something	The sales team tried a new [tactic] to attract customers. (Dịch: Nhóm bán hàng thử một chiến thuật mới để thu hút khách.)	That negotiating [tactic] was very effective. (Dịch: Chiến thuật đàm phán đó rất hiệu quả.)	(n) /ˈtæktɪk/	Collocations: marketing tactic
51	List 2	umbrella	(n) ô; cái dù = an object used to protect you from rain	I forgot my [umbrella] at the office. (Dịch: Tôi quên ô ở văn phòng.)	Please take an [umbrella] because it may rain. (Dịch: Vui lòng mang ô vì trời có thể mưa.)	(n) /ʌmˈbrelə/	Weather word
52	List 2	underline	(v) gạch chân; nhấn mạnh = to draw a line under words or to emphasize	Please [underline] the key points in the memo. (Dịch: Vui lòng gạch chân các ý chính trong bản ghi nhớ.)	The report [underlines] the need for better training. (Dịch: Báo cáo nhấn mạnh nhu cầu đào tạo tốt hơn.)	(v) /ˌʌndərˈlaɪn/	Two meanings: mark / emphasize
53	List 2	upcoming	(adj) sắp tới = happening soon	We are preparing for the [upcoming] conference. (Dịch: Chúng tôi đang chuẩn bị cho hội nghị sắp tới.)	Details about the [upcoming] event will be emailed tomorrow. (Dịch: Thông tin về sự kiện sắp tới sẽ được gửi email vào ngày mai.)	(adj) /ˈʌpˌkʌmɪŋ/	Collocations: upcoming event
54	List 2	upgrade	(v) nâng cấp = to improve something to a better version	The company plans to [upgrade] its computer system. (Dịch: Công ty dự định nâng cấp hệ thống máy tính.)	We [upgraded] the software last weekend. (Dịch: Chúng tôi đã nâng cấp phần mềm cuối tuần trước.)	(v) /ʌpˈɡreɪd/	Tech/business context
55	List 2	valid	(adj) có hiệu lực; hợp lệ = officially acceptable or still usable	This ticket is [valid] until Friday. (Dịch: Vé này còn hiệu lực đến thứ Sáu.)	Your password is not [valid] anymore. (Dịch: Mật khẩu của bạn không còn hợp lệ nữa.)	(adj) /ˈvælɪd/	Collocations: valid ID, valid reason
